,쿠카쿠,(주)쿠카쿠,2017-06-01,3년4개월,0,3 명
302,인재 36.5도 까페,협동조합인재개발뱅크,--,0년0개월,0,4 명
303,라크리마커피,정명F/B,2019-01-01,1년9개월,0,1 명
304,릴렉스라운지,(주)오리지날스푼,2015-07-23,5년3개월,0,22 명
305,쿠오레(Cuore),(주)쿠오레,2016-09-19,4년1개월,0,7 명
306,커피블라우,커피블라우,--,4년1개월,0,7 명
307,W COFFEE COMPANY,(주)더블유컴퍼니,--,0년0개월,0,11 명
308,반할커피,반할커피,--,0년0개월,0,11 명
309,해브에스프레소,어썸코리아,--,0년0개월,0,1 명
310,āoon(아운),(주)티에스커피,--,0년0개월,0,1 명
311,베라오커피,인터베이스,2013-01-01,7년9개월,0,1 명
312,커피셀러,커피셀러,--,7년9개월,0,1 명
313,카페다낭,정명F/B,--,0년0개월,0,1 명
314,핑거커피,(주)동양정수커피,--,0년0개월,0,9 명
315,generus coffee(제너러스커피),(주)제너러스커피,2019-11-25,0년11개월,0,1 명
316,카페코지,(주)카페코지,--,0년11개월,0,1 명
317,영커피,(주)영투게더컴퍼니,--,0년11개월,0,1 명
318,빈스앤베리즈,(주)한화비앤비,--,0년0개월,0,196 명
319,쪼오꼬,쪼오꼬,2014-09-01,6년1개월,0,1 명
320,비에이블스터디카페,비에이블코리아(주),2017-09-01,3년1개월,0,8 명
321,THE BIG,THEBIGCOFFEE,2018-04-01,2년6개월,0,1 명
322,cafe근대골목도나스,(주)홍두당,--,0년0개월,0,29 명
323,비커피(BEE COFFEE),(주)비,2019-11-07,0년11개월,0,0 명
324,CODE-G(코드지),에이치플래닛(주),--,0년0개월,0,2 명
325,라헬의부엌,(주)마르튀스컴퍼니,--,0년0개월,0,2 명
326,유동커피,(주)유동커피,--,0년0개월,0,1 명
327,루이스해밀턴커피,(주)옴니아,--,0년0개월,0,1 명
328,도이창커피,(주)인티코프,--,0년0개월,0,2 명
329,키브(Kiv),키브커피,2009-01-29,11년9개월,0,1 명
330,LEDOLCI1946,르돌치일구사육(주),2016-04-29,4년6개월,0,6 명
331,커피웨이브(COFFEE WAVE),유티비커피(주),--,0년0개월,0,19 명
332,켄커피,켄커피(본점),2018-06-01,2년4개월,0,1 명
333,WHO SEEK,"(주)제이비트레이딩(JBTradingCo.,Ltd)",--,0년0개월,0,6 명
334,차일드큐브,(주)펀키즈코리아,2006-03-01,14년7개월,0,2 명
335,힐링초이스(healing choice),(주)릴렉스코리아,2016-03-30,4년7개월,0,0 명
336,쿠카쿠,(주)쿠카쿠,2017-06-01,3년4개월,0,3 명
